#TYPE Selected.System.Management.Automation.PSCustomObject
"groupType","name","member","whenChanged"
"Global","G_HR","CN=HR10,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR9,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR8,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR7,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR6,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR5,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR4,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR3,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR2,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR1,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=Sonja Striks,OU=HR,OU=Afdelinger,DC=Backpack,DC=local","20240415074338.0Z"
"Global","G_Direktion","CN=Direktion10,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion9,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion8,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion7,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion6,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion5,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion4,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion3,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion2,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion1,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Stein Snyder,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local","20240415074319.0Z"
"Domain Local","DL_Produktion_M","CN=G_Produktion,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local","20240412112554.0Z"
"Domain Local","DL_Produktion_R","CN=G_Regnskab,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local","20240415074555.0Z"
"Domain Local","DL_Salg_M","CN=G_Salg,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local","20240412112646.0Z"
"Domain Local","DL_Salg_R","CN=G_Regnskab,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=G_Salg,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local","20240415074555.0Z"
"Domain Local","DL_HR_M","CN=G_HR,OU=HR,OU=Afdelinger,DC=Backpack,DC=local","20240412112703.0Z"
"Domain Local","DL_HR_R","CN=G_Regnskab,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=G_HR,OU=HR,OU=Afdelinger,DC=Backpack,DC=local","20240415074555.0Z"
"Domain Local","DL_Direktion_M","CN=G_Direktion,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local","20240412112712.0Z"
"Domain Local","DL_Direktion_R","CN=G_Regnskab,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=G_Direktion,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local","20240415074555.0Z"
"Domain Local","DL_Regnskab_M","CN=G_Regnskab,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local","20240415074555.0Z"
"Domain Local","DL_Regnskab_R","CN=G_Regnskab,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=G_Direktion,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local","20240415074555.0Z"
"Global","G_Regnskab","CN=Regnskab10,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=Regnskab9,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=Regnskab8,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=Regnskab7,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=Regnskab6,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=Regnskab5,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=Regnskab4,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=Regnskab3,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=Regnskab2,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=Regnskab1,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local;CN=Tanja Talknuser,OU=Regnskab,OU=Afdelinger,DC=Backpack,DC=local","20240415074623.0Z"

