#TYPE Selected.System.Management.Automation.PSCustomObject
"groupType","name","member","whenChanged"
"Global","Development","Dieter Zilch;Greg Yvkoff;Wei Yu;Tai Yee;Chen Yang;John Woods;Gregory Weber;Anne Wallace;Aldis Vilums;Olya Veselova;Garrett Vargas;Iben Thorell;Bernard Tham;Maurice Taylor;Kate Taneyhill;Ananth Sundararaj;Vijay Sundaram;Susanna Stubberod;Anne-Mette Stoltze;Joannie Stangeland;Mahesh Sreenivas;Alistair Speirs;Anibal Sousa;Ashima Singhal;Katherine Simpson;Kazuto Shibata;Ruslan Shashkov;George Schaller;Kazuki Sawanoi;Miguel Saenz;Ales Ruzicka;Idan Rubin;Bjorn Rettig;Morten Rasmussen;Toni Poe;Armando Pinto;Laurent Penisson;Pannarat Pattanapitakkul;Inna Ozhogina;Tad Orman;Mrina Natarajan;Bobby Moore;Jesse Merriam;Ben Martens;Mirko Mandic;Janusz Malgorzaciak;Maurizio Macagno;Jinghao Liu;Danny Levin;Lawrence Lam;Tomas Kutej;Joseph Krawczak;Prakash Kovvuru;Sarunas Koncius;Reed Koch;Anton Kirilov;Tim Kim;Anat Kerry;Will Kennedy;Madeleine Kelly;Sachin Karnik;Soha Kamal;Jacek Jelitto;Mukesh Jain;Lucio Iallo;Charlie Herb;Satomi Hayakawa;Claus Hansen;Jay Hamlin;Ivo Haemels;Leo Giakoumakis;Christa Geller;Debra Garcia;Sven Freitag;Gwenael Fourre;Raymond Fong;Maciej Fedorow;Alexei Eremenko;Witold Dyszkiewicz;Bart Duncan;Jan Dryml;Stephen Deming;Marlowe Dayley;Wojciech Czupta;Grant Culbertson;Eva Corets;Jim Corbin;Ray Chow;Jeff Chia;Neil Charney;Rob Cason;Chase Carpenter;Cyril Carbonati;Reina Cabatana;Tzipi Butnaru;Luis Bonifaz;Jimmy Bischoff;Matthias Berndt;Sean Bentley;Evan Basalik;Dev Balasubramanian;Ravital Artman;Johnson Apacible;Christen Anderson;Gudmundur Adalsteinsson","20240516075149.0Z"
"Global","IT","Amr Zaki;Steve Winfield;Maira Wenzel;Qiang Wang;Kim Truelsen;Danielle Tiedt;Brad Sutton;Tony Smith;Shish Shridhar;Thorsten Scholl;Kelly Rollin;Shawn Richardson;April Reagan;Jorgen Rahgek;Juha-Pekka Posti;Radim Petratur;Tude Palma;Chad Niswonger;Kyryl Nagaichouk;Roman Miler;Pooja Malpani;Vidhya Mahadevan;Godwell Khosa;Yukari Kemmotsu;Sandeep Kaliyath;Julian Isla;Jesper Herp;Magnus Hedlund;Walter Harp;Don Funk;Holly Dickson;Francisco Chaves;Matt Cavallari;Maria Cameron;Thomas Bouchard;Rex Bloesser;Mark Bebbington;Roya Asbari;Michael Allen;Manoj Agarwal","20240516075149.0Z"
"Global","Managers","Erwin Zischka;Eiji Yasuda;Tjeerd Veninga;Siri Velauthapillai;Carol Troup;Bostjan Strazar;Ryan Spanton;Gurinder Singh;Osama Shabaneh;Tihomir Sasic;Raimonds Rudmanis;Jean-Christophe Pitie;Flemming Pedersen;Leonids Paturskis;Ed Meadows;Bill Malone;Judy Lew;Benno Kurmann;Vamsi Kuppa;Dariusz Korzun;Russell King;Kevin Kelly;Wendy Kahn;Krzysztof Janiszewski;Lola Jacobsen;Pongsiri Hirunyanitiwatna;Joe Healy;Franck Halmaert;Pernille Halberg;Nuria Gonzalez;Euan Garden;Dominik Dubicki;Aidan Delaney;Cecilia Cornejo;Ankur Chavda;Jason Carlson;Richard Carey;Jiri Burian;Randall Boseman;Nuno Bento;Yossi Banai;Diogo Andrade","20240516075149.0Z"
"Global","Marketing","Robert Zare;Ayca Yuksel;Pieter Wycoff;Zac Woodall;Paul West;Connie Vrettos;Peter Villadsen;Sunil Uppal;Sittichai Tuntisangaroon;Karen Toh;Nate Sun;Alan Steiner;David So;Denise Smith;Alexandre Silva;Niraj Shah;Andreas Schou;Scott Rockfeld;Barak Regev;Rui Raposo;Cristina Potra;Tanja Plate;Michel Pereira;Elly Nkya;Sebastien Motte;Arnie Mondloch;Frank Miller;Leonor Marques;Doug Mahugh;Manuel Machado;Jenny Liu;Yale Li;Karina Leal;Renata Krausova;Eugene Kogan;Masato Kawai;Ashish Kapoor;Shu Ito;Christian Hess;Kari Hensien;Justin Harrison;Kerim Hanif;Allan Guinot;Boris Gresak;Stuart Glasson;Wriju Ghosh;Davide Garghentini;Lawrie Gaffney;Joel Frauenheim;Franziska Fiegler;Antoine Faisandier;Vladimir Egorov;Andrew Dixon;Prashanth Desai;Myriam Delesalle;Alex Darrow;Pawel Czernek;Pat Coleman;Manish Chopra;Ural Cebeci;Carlos Carvallo;Jamie Campbell;Randy Byrne;Derek Brown;Bryan Bredehoeft;Tomasz Bochenek;Dana Birkby;Anna Bedecs;Adam Barr;Sameer Athalye;Zainal Arifin","20240516075149.0Z"
"Global","Research","Barbara Zighetti;Makoto Yamagishi;Colin Wilcox;Larry Waldman;Louise Toubro;Roberto Tamburello;Florian Stiller;Yukako Souza;Chris Sells;Sabine Royant;Olivier Renaud;Pilar Pinilla;Sanjay Patel;Preeda Ola;Heather Murchison;Bharat Mirchandani;Hani Loza;Deepak Kumar;Ivan Komashinsky;Shane Kim;Lukas Keller;Tom Higginbotham;Aziz Hassouneh;Sagiv Hadaya;Maxim Goldin;Cesar Garcia;Viggo Forde;Anil Elson;Patricia Doyle;Jeroen Cool;Mathew Charles;Dita Burianova;Chloe Brussard;Raffaella Bonaldi;Allie Bellew;Josh Bailey","20240516075149.0Z"
"Global","Sales","Joanna Yuan;Ming-Yang Xie;Mariusz Wolodzko;Pia Westermann;Martin Weber;Nina Vietzen;Purvi Vaidya;Steffen Tschimmel;Lisa Toftemark;Ram Thirunavukkarasu;Eric Swift;Jaka Stele;Sethu Srinivasan;Neven Sokec;Edmund Silva;Rhae-Christie Shaw;Mandar Samant;Tali Roth;Filip Rehorik;Vishwa Ranjan;Houman Pournasseh;Terrence Philip;Lori Penor;Dan Park;Danni Ortman;Fabricio Noriega;Zheng Mu;Jonathan Mollerup;Harry Miller;Willem Mevius;Parul Manek;Hemant Mahawar;Melissa MacBeth;Jeremy Los;Oliver Lee;Karin Lamb;Franz Kohl;Petr Klement;Jennifer Kensok;Bonnie Kearney;Sarah Jones;Erik Jensen;Raman Iyer;Arlene Huff;Roland Hofmann;Stefan Hesse;Limor Henig;Phyllis Harris;Mu Han;Yanlai Guo;Kirk Gregersen;Jon Gordner;Jens Geschwandtner;Mike Gahrns;Soren Francker;Heinrich Fischer;Ken Ewert;Aaren Ekelund;Daniel Durrer;Blaine Dockter;Molly Dempsey;Shannon Dascher;Can Comertoglu;Lucia Ceckova;Maggie Carrido;Fabrice Canel;Dennis Bye;Jed Brown;Jonas Brandel;Catherine Boeger;Parry Bedi;Dave Barnett;Vivian Atlas;Luca Argentiero;James Alvord;Cigdem Akin;Hazem Abolrous","20240516075149.0Z"
"Domain Local","ACL-Development-M","Development","20240516084845.0Z"
"Domain Local","ACL-IT-M","IT","20240516081408.0Z"
"Domain Local","ACL-Managers-M","Managers","20240516081415.0Z"
"Domain Local","ACL-Marketing-M","Marketing","20240516081418.0Z"
"Domain Local","ACL-Research-R","Development","20240516084926.0Z"
"Domain Local","ACL-Research-M","Research","20240516081422.0Z"
"Domain Local","ACL-Sales-M","Sales","20240516081427.0Z"
"Domain Local","ACL-Sales-R","Marketing","20240516084742.0Z"
"Global","GRP-Admi-Sales","Arlene Huff","20240516110737.0Z"
"Global","Firm-PrinterAdmi","Aldis Vilums","20240517074616.0Z"
