DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsTo,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,givenName,userPrincipalName,gPCUserExtensionNames
"CN=NTDS Quotas,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Managed Service Accounts,DC=Kredit,DC=Dylan,DC=local",container,"CN=Managed Service Accounts,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5810,,,,5810,Managed Service Accounts,X'f0a2dde08a82a146884d630a67ecdee8',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419073651.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Managed Service Accounts,Default container for managed service accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Keys,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=WinsockServices,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=WinsockServices,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5663,,,,5663,WinsockServices,X'b06e389e46a46c4595ca487b2bceaf18',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,WinsockServices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RpcServices,CN=System,DC=Kredit,DC=Dylan,DC=local",rpcContainer,"CN=RpcServices,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5664,,,,5664,RpcServices,X'61d123e50e36a947a4068923da812261',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Rpc-Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,RpcServices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=FileLinks,CN=System,DC=Kredit,DC=Dylan,DC=local",fileLinkTracking,"CN=FileLinks,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5665,,,,5665,FileLinks,X'ffca4a1dc1f05b4e9f76ce30890fd43e',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=File-Link-Tracking,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,FileLinks,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=VolumeTable,CN=FileLinks,CN=System,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=Kredit,DC=Dylan,DC=local",linkTrackObjectMoveTable,"CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5667,,,,5667,ObjectMoveTable,X'b5b8158fd5527e43bb0fa30308e7d1dc',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Link-Track-Object-Move-Table,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,ObjectMoveTable,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Default Domain Policy,CN=System,DC=Kredit,DC=Dylan,DC=local",domainPolicy,"CN=Default Domain Policy,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5668,,,,5668,Default Domain Policy,X'0a44cb5bd36bc249bdd065577c361cd5',,,,,,,,,,,,,,,,,,,,,,,,"CN=Domain-Policy,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Default Domain Policy,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=Kredit,DC=Dylan,DC=local",classStore,"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5669,,,,5669,AppCategories,X'ffef8d06b4e6934caf9abd25bc1b8f54',,,,,,,,,,,,,,,,,,,,,,,,"CN=Class-Store,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,AppCategories,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Meetings,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=Meetings,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5670,,,,5670,Meetings,X'0e0611f58420ab41b6aa30830e626f21',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Meetings,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5671,,,,5671,Policies,X'a8c5cc1bade8104895681101e866da92',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Policies,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",groupPolicyContainer,"CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064614.0Z,,5672,,,,12759,{31B2F340-016D-11D2-945F-00C04FB984F9},X'71306a2301308249bec2fc7ad23fbc0a',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Group-Policy-Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000000.0Z,,,,,,,,,,,,,{31B2F340-016D-11D2-945F-00C04FB984F9},,TRUE,,Default Domain Policy,0,3,2,\\\\Kredit.Dylan.local\\sysvol\\Kredit.Dylan.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9},[{35378EAC-683F-11D2-A89A-00C04FBBCFA2}{53D6AB1B-2488-11D1-A28C-00C04FB94F17}][{827D319E-6EAC-11D2-A4EA-00C04F79F83A}{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}][{B1BE8D72-6EAC-11D2-A4EA-00C04F79F83A}{53D6AB1B-2488-11D1-A28C-00C04FB94F17}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5673,,,,5673,User,X'8caf3f30beff344dbcf6fd3f6cf6f1b4',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,User,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5674,,,,5674,Machine,X'8118d306a6a6d746aa3e1dbe8e6e32c5',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",groupPolicyContainer,"CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419094758.0Z,,5675,,,,14247,{6AC1786C-016F-11D2-945F-00C04fB984F9},X'0253fc2a10a0de47adccfecb4a67726f',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Group-Policy-Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000000.0Z,,,,,,,,,,,,,{6AC1786C-016F-11D2-945F-00C04fB984F9},,TRUE,,Default Domain Controllers Policy,0,3,2,\\\\Kredit.Dylan.local\\sysvol\\Kredit.Dylan.local\\Policies\\{6AC1786C-016F-11D2-945F-00C04fB984F9},[{827D319E-6EAC-11D2-A4EA-00C04F79F83A}{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=User,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=User,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5676,,,,5676,User,X'2629a0c922070f42a1de719c8793d9b6',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,User,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
