DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsTo,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,groupType,member,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,givenName,userPrincipalName,gPCUserExtensionNames
"CN=NTDS Quotas,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Managed Service Accounts,DC=andeby,DC=local",container,"CN=Managed Service Accounts,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5810,,,,5810,Managed Service Accounts,X'fb2b7455a48f5c408ea228c5e97983f0',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418103205.0Z;20240418091336.0Z;16010101181217.0Z,,,,,,,,,,,,,Managed Service Accounts,Default container for managed service accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Keys,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=WinsockServices,CN=System,DC=andeby,DC=local",container,"CN=WinsockServices,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5663,,,,5663,WinsockServices,X'e743f53539b34443a8147286260c2c80',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,WinsockServices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RpcServices,CN=System,DC=andeby,DC=local",rpcContainer,"CN=RpcServices,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5664,,,,5664,RpcServices,X'502a9f38bf827747af3491b689e2dd7e',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Rpc-Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,RpcServices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=FileLinks,CN=System,DC=andeby,DC=local",fileLinkTracking,"CN=FileLinks,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5665,,,,5665,FileLinks,X'7dd34790e1748c4dbd511d0dd9bf77aa',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=File-Link-Tracking,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,FileLinks,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=VolumeTable,CN=FileLinks,CN=System,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=andeby,DC=local",linkTrackObjectMoveTable,"CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5667,,,,5667,ObjectMoveTable,X'0d1f8280ae93204e8d2b9660e98f3cd9',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Link-Track-Object-Move-Table,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,ObjectMoveTable,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Default Domain Policy,CN=System,DC=andeby,DC=local",domainPolicy,"CN=Default Domain Policy,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5668,,,,5668,Default Domain Policy,X'180d0153d8dffc4b8d3f0406eb4c8498',,,,,,,,,,,,,,,,,,,,,,,,"CN=Domain-Policy,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Default Domain Policy,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=andeby,DC=local",classStore,"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5669,,,,5669,AppCategories,X'c1917bf1d90dca42bce43cd3e2e3628c',,,,,,,,,,,,,,,,,,,,,,,,"CN=Class-Store,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,AppCategories,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Meetings,CN=System,DC=andeby,DC=local",container,"CN=Meetings,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5670,,,,5670,Meetings,X'62b82fb0e2007740abbe8410da398aa7',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Meetings,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Policies,CN=System,DC=andeby,DC=local",container,"CN=Policies,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5671,,,,5671,Policies,X'72250dc6d04e9f44a95023f24e683a41',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Policies,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=andeby,DC=local",groupPolicyContainer,"CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091926.0Z,,5672,,,,12593,{31B2F340-016D-11D2-945F-00C04FB984F9},X'32b7876788864b4c9acce1a30454f664',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Group-Policy-Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000000.0Z,,,,,,,,,,,,,{31B2F340-016D-11D2-945F-00C04FB984F9},,TRUE,,Default Domain Policy,0,3,2,\\\\andeby.local\\sysvol\\andeby.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9},[{35378EAC-683F-11D2-A89A-00C04FBBCFA2}{53D6AB1B-2488-11D1-A28C-00C04FB94F17}][{827D319E-6EAC-11D2-A4EA-00C04F79F83A}{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}][{B1BE8D72-6EAC-11D2-A4EA-00C04F79F83A}{53D6AB1B-2488-11D1-A28C-00C04FB94F17}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=andeby,DC=local",container,"CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5673,,,,5673,User,X'41551438889f2145b99c84fe9eb8717d',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,User,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=andeby,DC=local",container,"CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5674,,,,5674,Machine,X'40dab0f43cd18048a2292e4eead043b9',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=andeby,DC=local",groupPolicyContainer,"CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5675,,,,5675,{6AC1786C-016F-11D2-945F-00C04fB984F9},X'21337d822bb7c84580d5b415a2b3c61d',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Group-Policy-Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000000.0Z,,,,,,,,,,,,,{6AC1786C-016F-11D2-945F-00C04fB984F9},,TRUE,,Default Domain Controllers Policy,0,1,2,\\\\andeby.local\\sysvol\\andeby.local\\Policies\\{6AC1786C-016F-11D2-945F-00C04fB984F9},[{827D319E-6EAC-11D2-A4EA-00C04F79F83A}{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=User,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=andeby,DC=local",container,"CN=User,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5676,,,,5676,User,X'041a5790f1a8194f8cdf26e71bef3c0e',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,User,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Machine,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=andeby,DC=local",container,"CN=Machine,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5677,,,,5677,Machine,X'5c9b2e02f1e496439686265527d6cb61',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RAS and IAS Servers Access Check,CN=System,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=File Replication Service,CN=System,DC=andeby,DC=local",nTFRSSettings,"CN=File Replication Service,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5679,,,,5679,File Replication Service,X'5aada1d538b9e642993997f96abb2d99',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=NTFRS-Settings,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,File Replication Service,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
